survey,ATLAS-c0,ATLAS-o0,ATLAS-c1,ATLAS-o1,ATLAS-c2,ATLAS-o2,ATLAS-c3,ATLAS-o3,ATLAS-c4,ATLAS-o4,ATLAS-c5,ATLAS-o5,ATLAS-c6,ATLAS-o6,ATLAS-c7,ATLAS-o7,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ATLAS-c0_AV,ATLAS-o0_AV,ATLAS-c1_AV,ATLAS-o1_AV,ATLAS-c2_AV,ATLAS-o2_AV,ATLAS-c3_AV,ATLAS-o3_AV,ATLAS-c4_AV,ATLAS-o4_AV,ATLAS-c5_AV,ATLAS-o5_AV,ATLAS-c6_AV,ATLAS-o6_AV,ATLAS-c7_AV,ATLAS-o7_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ATLAS,-999,17.757,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.0834,17.7971,17.6973,17.6636,31.0588,0.768746,0.0672368,0.0476232,0.0672368,0.0476232,0.0672368,0.0476232,0.0672368,0.0476232,0.0672368,0.0476232,0.0672368,0.0476232,0.0672368,0.0476232,0.0672368,0.0476232,0.0782058,0.0553604,0.0409272,0.0323225
ATLAS,-999,17.0316,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.6109,17.1116,16.9241,16.8673,31.5248,0.509975,0.068437,0.0484733,0.068437,0.0484733,0.068437,0.0484733,0.068437,0.0484733,0.068437,0.0484733,0.068437,0.0484733,0.068437,0.0484733,0.068437,0.0484733,0.0796018,0.0563486,0.0416578,0.0328995
ATLAS,-999,17.4717,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.7368,17.4979,17.4066,17.417,31.7083,0.977766,0.0689792,0.0488573,0.0689792,0.0488573,0.0689792,0.0488573,0.0689792,0.0488573,0.0689792,0.0488573,0.0689792,0.0488573,0.0689792,0.0488573,0.0689792,0.0488573,0.0802324,0.0567949,0.0419878,0.0331601
ATLAS,-999,17.2839,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.8239,17.1991,16.9487,16.8465,31.4467,0.970114,0.0673725,0.0477193,0.0673725,0.0477193,0.0673725,0.0477193,0.0673725,0.0477193,0.0673725,0.0477193,0.0673725,0.0477193,0.0673725,0.0477193,0.0673725,0.0477193,0.0783636,0.0554721,0.0410098,0.0323877
ATLAS,-999,17.0911,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.5549,17.1527,17.0021,16.9736,31.6974,0.900473,0.0692788,0.0490695,0.0692788,0.0490695,0.0692788,0.0490695,0.0692788,0.0490695,0.0692788,0.0490695,0.0692788,0.0490695,0.0692788,0.0490695,0.0692788,0.0490695,0.0805809,0.0570416,0.0421702,0.0333041
ATLAS,-999,17.5912,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.856,17.6221,17.5349,17.5539,31.6977,0.960462,0.0687655,0.048706,0.0687655,0.048706,0.0687655,0.048706,0.0687655,0.048706,0.0687655,0.048706,0.0687655,0.048706,0.0687655,0.048706,0.0687655,0.048706,0.0799838,0.056619,0.0418577,0.0330574
ATLAS,-999,17.6769,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.4762,17.7973,17.5309,17.4201,31.759,0.711756,0.0721188,0.0510811,0.0721188,0.0510811,0.0721188,0.0510811,0.0721188,0.0510811,0.0721188,0.0510811,0.0721188,0.0510811,0.0721188,0.0510811,0.0721188,0.0510811,0.0838842,0.05938,0.0438989,0.0346694
ATLAS,-999,17.3758,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.1863,17.4768,17.2382,17.1261,31.2476,0.963743,0.0630132,0.0446316,0.0630132,0.0446316,0.0630132,0.0446316,0.0630132,0.0446316,0.0630132,0.0446316,0.0630132,0.0446316,0.0630132,0.0446316,0.0630132,0.0446316,0.0732931,0.0518828,0.0383563,0.0302921
ATLAS,-999,17.3781,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.7624,17.4209,17.3108,17.2974,31.3358,0.962011,0.0638982,0.0452585,0.0638982,0.0452585,0.0638982,0.0452585,0.0638982,0.0452585,0.0638982,0.0452585,0.0638982,0.0452585,0.0638982,0.0452585,0.0638982,0.0452585,0.0743225,0.0526114,0.038895,0.0307175
ATLAS,-999,17.7675,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.4358,17.872,17.6336,17.5382,31.1224,0.928676,0.0603783,0.0427654,0.0603783,0.0427654,0.0603783,0.0427654,0.0603783,0.0427654,0.0603783,0.0427654,0.0603783,0.0427654,0.0603783,0.0427654,0.0603783,0.0427654,0.0702284,0.0497133,0.0367524,0.0290254
ATLAS,-999,17.1495,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17.4307,17.1767,17.0962,17.0876,31.3687,0.382769,0.0640519,0.0453673,0.0640519,0.0453673,0.0640519,0.0453673,0.0640519,0.0453673,0.0640519,0.0453673,0.0640519,0.0453673,0.0640519,0.0453673,0.0640519,0.0453673,0.0745012,0.052738,0.0389885,0.0307914
