survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3K,17.0398,16.1796,15.869,15.5977,16.5252,15.8842,15.6278,15.5328,340.603,19.9909,0.183758,0.141195,0.11547,0.0836827,0.164229,0.116255,0.0859456,0.067876
CFA3K,16.3448,15.7986,15.61,15.4397,16.0163,15.621,15.4622,15.4178,340.564,20.0791,0.181147,0.139189,0.113829,0.0824939,0.161896,0.114603,0.0847247,0.0669118
CFA3K,17.4218,16.5936,16.294,16.0367,16.879,16.2975,16.0353,15.9199,340.55,20.0069,0.190639,0.146482,0.119794,0.0868164,0.170379,0.120608,0.089164,0.0704177
CFA3K,16.3858,15.7476,15.54,15.3487,15.9665,15.5296,15.3594,15.2993,340.547,20.0159,0.190938,0.146712,0.119982,0.0869527,0.170647,0.120797,0.089304,0.0705283
CFA3K,17.8018,17.2466,17.078,16.9077,17.4177,17.0366,16.8699,16.8311,340.506,19.9396,0.176599,0.135695,0.110972,0.0804229,0.157832,0.111726,0.0825976,0.0652319
CFA3K,16.9508,16.3676,16.213,16.0767,16.53,16.1698,16.0586,16.0345,340.504,19.9582,0.180116,0.138397,0.113182,0.0820245,0.160975,0.113951,0.0842426,0.066531
CFA3K,16.8068,15.9676,15.667,15.4127,16.2502,15.6315,15.3884,15.3033,340.483,19.9575,0.175243,0.134652,0.110119,0.0798052,0.156619,0.110868,0.0819632,0.0647309
CFA3K,16.5948,15.7656,15.494,15.2577,16.0801,15.4947,15.2861,15.1976,340.449,20.0514,0.186573,0.143358,0.117239,0.0849649,0.166745,0.118036,0.0872625,0.068916
CFA3K,15.6678,15.0256,14.834,14.6617,15.2866,14.8551,14.7147,14.6664,340.449,20.0871,0.190644,0.146486,0.119797,0.0868186,0.170383,0.120611,0.0891662,0.0704195
CFA3K,17.8762,16.9943,,,17.3566,16.6459,16.3067,16.1577,308.964,64.7726,1.34956,1.03697,0.848041,0.614588,1.20614,0.853805,0.631207,0.498499
CFA3K,17.9868,17.2374,16.9393,16.6695,17.5434,16.9461,16.6929,16.573,144.438,23.2279,0.118754,0.0912475,0.0746227,0.0540802,0.106134,0.0751298,0.0555426,0.043865
CFA3K,15.8858,15.2554,15.0703,14.9025,15.4748,15.0587,14.9111,14.8825,144.418,23.1493,0.106799,0.0820616,0.0671104,0.048636,0.0954491,0.0675665,0.0499511,0.0394492
CFA3K,17.0318,16.1474,15.8063,15.5185,16.5042,15.8024,15.5413,15.4366,144.415,23.1323,0.105372,0.0809652,0.0662138,0.0479861,0.0941738,0.0666638,0.0492837,0.0389221
CFA3K,15.9058,15.3014,15.1263,14.9635,15.502,15.1161,14.9535,14.9377,144.389,23.1135,0.101,0.0776059,0.0634665,0.0459952,0.0902665,0.0638979,0.0472389,0.0373072
CFA3K,15.9058,15.3014,15.1263,14.9635,15.5029,15.1131,14.9764,14.9487,144.389,23.1135,0.100997,0.0776035,0.0634646,0.0459938,0.0902637,0.0638959,0.0472375,0.037306
CFA3K,16.5498,15.9684,15.7873,15.6515,16.1778,15.7961,15.664,15.6423,144.362,23.2389,0.113317,0.08707,0.0712063,0.0516043,0.101275,0.0716903,0.0529997,0.0418568
CFA3K,17.0808,16.3044,16.0523,15.8355,16.5706,16.0245,15.8196,15.7562,144.291,23.1715,0.100387,0.0771351,0.0630815,0.0457161,0.0897189,0.0635102,0.0469524,0.0370809
CFA3K,15.8088,15.3524,15.2413,15.1405,15.4624,15.2072,15.128,15.1414,144.289,23.1764,0.100511,0.0772303,0.0631594,0.0457725,0.0898296,0.0635886,0.0470103,0.0371266
CFA3K,16.6228,15.7194,15.3473,15.0605,16.081,15.3727,15.0915,14.9757,144.289,23.2427,0.101231,0.0777836,0.0636118,0.0461005,0.0904731,0.0640442,0.0473471,0.0373926
CFA3K,16.2081,15.7231,15.596,15.4815,15.9161,15.7571,15.5372,15.6754,139.117,-16.2342,0.168163,0.129213,0.105671,0.0765812,0.150292,0.106389,0.078652,0.0621159
CFA3K,15.7495,15.2736,15.1403,15.0213,15.4521,15.1474,15.0291,15.027,139.08,-16.2322,0.172643,0.132655,0.108486,0.0786214,0.154296,0.109223,0.0807474,0.0637707
CFA3K,16.253,15.5346,15.2888,15.0738,15.7943,15.2875,15.0625,14.9984,139.074,-16.3777,0.162072,0.124532,0.101843,0.0738073,0.144848,0.102535,0.0758031,0.0598659
CFA3K,16.723,16.0371,15.8393,15.6478,16.2724,15.8198,15.6448,15.5954,139.055,-16.3512,0.172432,0.132493,0.108353,0.0785253,0.154108,0.10909,0.0806487,0.0636928
CFA3K,17.1535,16.4991,16.2738,16.0843,17.0354,16.7022,16.4053,16.3865,139.049,-16.3215,0.182537,0.140257,0.114703,0.0831271,0.163139,0.115483,0.085375,0.0674253
CFA3K,17.1325,16.5671,16.4468,16.2973,16.7524,16.4107,16.3007,16.2788,139.017,-16.3196,0.18056,0.138738,0.113461,0.0822268,0.161372,0.114232,0.0844503,0.0666951
CFA3K,17.091,16.5491,16.4268,16.3368,16.6908,16.3798,16.2913,16.2751,139.011,-16.3621,0.170793,0.131233,0.107323,0.0777788,0.152643,0.108053,0.079882,0.0630872
CFA3K,16.8865,16.4231,16.2983,16.1828,16.5554,16.2589,16.1641,16.1591,139.004,-16.3236,0.177481,0.136372,0.111526,0.0808243,0.158619,0.112284,0.0830099,0.0655575
CFA3K,16.39,15.4936,15.1283,14.8308,15.8304,15.1256,14.8399,14.7233,138.975,-16.2852,0.175388,0.134764,0.11021,0.0798711,0.156749,0.110959,0.0820309,0.0647843
CFA3K,16.6901,16.2939,16.1898,16.0821,16.4513,16.2133,16.0996,16.0821,205.284,67.7159,0.0703383,0.0540462,0.0441993,0.0320319,0.0628633,0.0444997,0.0328981,0.0259814
CFA3K,16.7728,16.0131,15.7345,15.5151,16.358,15.7593,15.5387,15.4606,78.021,5.26563,0.389413,0.299216,0.2447,0.177338,0.348029,0.246363,0.182133,0.143841
CFA3K,16.2841,15.6239,15.4106,15.2187,15.8942,15.4272,15.2353,15.1895,78.0036,5.25663,0.391007,0.30044,0.245702,0.178064,0.349454,0.247372,0.182879,0.14443
CFA3K,16.4761,15.9706,15.8317,15.6891,16.1781,15.8335,15.7044,15.6799,77.9868,5.19093,0.394381,0.303032,0.247821,0.1796,0.352469,0.249506,0.184457,0.145676
CFA3K,16.6671,16.0199,15.8103,15.6194,16.3038,15.8288,15.6354,15.5923,77.9332,5.25395,0.393219,0.30214,0.247091,0.179071,0.35143,0.248771,0.183913,0.145246
CFA3K,16.419,15.6722,15.4429,15.247,16.0004,15.4632,15.2864,15.2337,77.91,5.27502,0.392439,0.30154,0.246601,0.178716,0.350733,0.248277,0.183548,0.144958
CFA3K,16.8871,16.0214,15.6833,15.4136,16.3503,15.676,15.4252,15.33,47.2443,-7.07821,0.243862,0.187377,0.153238,0.111054,0.217946,0.15428,0.114057,0.0900772
CFA3K,17.8316,17.2324,17.0458,16.9027,17.4233,17.026,16.8893,16.857,47.2159,-7.08269,0.251062,0.19291,0.157762,0.114333,0.224381,0.158835,0.117425,0.0927367
CFA3K,15.9261,15.3245,15.1298,14.9208,15.5596,15.1245,14.9349,14.8715,36.9986,28.1121,0.451974,0.347286,0.284012,0.205828,0.403942,0.285942,0.211394,0.166949
CFA3K,16.8751,16.1315,15.8508,15.5468,16.4124,15.8352,15.5629,15.4378,36.9373,28.1874,0.458903,0.35261,0.288366,0.208983,0.410134,0.290326,0.214635,0.169509
CFA3K,17.1351,16.4475,16.2238,16.0348,16.673,16.2011,16.0023,15.9461,36.9367,28.1191,0.456888,0.351061,0.2871,0.208066,0.408333,0.289051,0.213692,0.168764
CFA3K,16.2301,15.5405,15.3308,15.1438,15.7485,15.2937,15.1175,15.0558,36.879,28.0932,0.459157,0.352805,0.288526,0.209099,0.410361,0.290487,0.214753,0.169603
CFA3K,16.7951,16.0255,15.7498,15.5018,16.3026,15.7413,15.5118,15.4068,36.8314,28.1821,0.430921,0.331109,0.270782,0.19624,0.385125,0.272623,0.201547,0.159173
CFA3K,16.022,15.2999,15.0688,14.8844,15.555,15.0536,14.893,14.8495,21.8082,19.102,0.190311,0.146231,0.119588,0.0866674,0.170087,0.120401,0.0890109,0.0702969
CFA3K,15.769,15.1789,14.9888,14.8374,15.3615,14.974,14.8449,14.8135,21.7453,19.1265,0.18875,0.145031,0.118607,0.0859562,0.168691,0.119413,0.0882805,0.06972
CFA3K,17.401,16.8179,16.6608,16.5064,16.9869,16.6216,16.4804,16.44,21.6966,19.0968,0.191475,0.147125,0.12032,0.0871974,0.171127,0.121137,0.0895553,0.0707268
CFA3K,16.866,16.1819,15.9588,15.7934,16.386,15.9482,15.7724,15.7164,21.6935,19.0339,0.198615,0.15261,0.124806,0.0904486,0.177507,0.125654,0.0928944,0.0733639
CFA3K,16.8077,16.2956,16.1438,15.9662,16.4666,16.1307,16.0101,15.9984,21.7322,-1.25137,0.136647,0.104996,0.0858663,0.0622286,0.122125,0.0864499,0.0639114,0.0504743
CFA3K,16.1607,15.5436,15.3518,15.1552,15.744,15.3355,15.201,15.1684,21.7151,-1.27578,0.139169,0.106934,0.0874514,0.0633773,0.124379,0.0880457,0.0650911,0.0514061
CFA3K,16.7097,15.9316,15.6688,15.4152,16.1972,15.6533,15.4483,15.3863,21.6995,-1.27685,0.138294,0.106262,0.0869016,0.0629789,0.123597,0.0874922,0.0646819,0.0510829
CFA3K,16.8264,16.0657,15.8196,15.5775,16.3518,15.799,15.5995,15.518,7.00481,-1.19149,0.0758342,0.0582691,0.0476528,0.0345347,0.0677751,0.0479767,0.0354686,0.0280115
CFA3K,16.9067,16.4474,16.2996,16.1689,16.6084,16.268,16.1862,16.1498,6.96206,-1.13407,0.0730533,0.0561323,0.0459053,0.0332683,0.0652897,0.0462173,0.0341679,0.0269843
CFA3K,16.85,16.1737,15.9363,15.7312,16.4158,15.9336,15.7301,15.6499,6.91189,-1.15459,0.0758747,0.0583002,0.0476782,0.0345531,0.0678113,0.0480023,0.0354875,0.0280264
CFA3K,17.0433,16.527,16.4002,16.2745,16.6878,16.3556,16.2342,16.2058,6.91048,-1.28662,0.0836183,0.0642502,0.0525441,0.0380795,0.0747319,0.0529013,0.0391093,0.0308867
CFA3K,16.1771,15.4414,15.209,15.0092,15.7209,15.1844,14.9997,14.934,6.88001,-1.20809,0.0809702,0.0622155,0.0508802,0.0368736,0.0723653,0.051226,0.0378707,0.0299086
CFA3K,16.8264,16.0173,15.6833,15.3838,16.3512,15.6847,15.3901,15.2669,359.68,-18.7055,0.0743254,0.0571098,0.0467047,0.0338476,0.0664267,0.0470221,0.0347629,0.0274542
CFA3K,17.7094,17.2603,17.1533,17.0118,17.3748,17.1194,17.019,17.0035,359.636,-18.7677,0.0716101,0.0550234,0.0449984,0.032611,0.0639999,0.0453042,0.0334929,0.0264512
CFA3K,17.9654,17.2803,17.0513,16.8728,17.5231,17.0408,16.8714,16.8201,359.634,-18.742,0.0736251,0.0565717,0.0462646,0.0335287,0.0658007,0.046579,0.0344353,0.0271955
CFA3K,17.7724,17.4113,17.2583,17.1708,17.5403,17.2543,17.1484,17.1417,359.582,-18.6276,0.0777678,0.0597549,0.0488679,0.0354153,0.0695033,0.0492,0.036373,0.0287257
CFA3K,18.4654,17.7553,17.5473,17.3678,18.0451,17.5466,17.3615,17.3108,359.561,-18.6423,0.0779692,0.0599096,0.0489944,0.035507,0.0696832,0.0493274,0.0364671,0.0288001
CFA3K,16.0856,15.5072,15.3605,15.2493,15.7342,15.3793,15.2565,15.2403,19.2457,0.768966,0.110702,0.0850609,0.0695633,0.0504136,0.0989377,0.0700361,0.0517768,0.040891
CFA3K,17.6069,17.1418,16.9642,16.7347,17.3935,17.0622,16.9282,16.8793,338.592,5.6365,0.449426,0.345328,0.282411,0.204668,0.401665,0.284331,0.210202,0.166008
CFA3K,17.9359,16.8848,16.4992,16.1347,17.2752,16.5095,16.1651,16.0112,338.539,5.57532,0.457366,0.351428,0.2874,0.208283,0.40876,0.289353,0.213915,0.168941
CFA3K,18.0929,17.3168,17.0832,16.8857,17.6255,17.1025,16.9069,16.8233,338.527,5.62921,0.460481,0.353822,0.289358,0.209702,0.411544,0.291324,0.215372,0.170092
CFA3K,18.2759,17.3028,16.9562,16.5417,17.7367,16.985,16.6038,16.42,338.523,5.64685,0.461671,0.354737,0.290105,0.210244,0.412608,0.292077,0.215929,0.170531
CFA3K,17.9989,17.4638,17.3022,17.0927,17.6933,17.3016,17.1354,17.0768,338.508,5.63336,0.46493,0.35724,0.292153,0.211728,0.41552,0.294139,0.217453,0.171735
CFA3K,17.5919,16.6158,16.2632,15.9347,17.0123,16.2719,15.9603,15.8112,338.484,5.61512,0.471231,0.362082,0.296113,0.214597,0.421152,0.298125,0.2204,0.174062
CFA3K,17.8859,17.3068,17.1122,16.8717,17.602,17.1254,16.9214,16.8293,338.475,5.64429,0.473923,0.364151,0.297805,0.215824,0.423558,0.299829,0.22166,0.175057
CFA3K,16.7809,15.9798,15.7242,15.4957,16.2734,15.711,15.4929,15.4116,338.444,5.56196,0.480296,0.369048,0.301809,0.218726,0.429254,0.30386,0.22464,0.177411
CFA3K,16.085,15.3929,15.1792,14.9825,15.659,15.1839,14.9897,14.9289,53.8247,-25.0256,0.062945,0.0483654,0.0395535,0.028665,0.0562557,0.0398223,0.0294401,0.0232505
