survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,18.0873,17.3784,16.8598,16.462,17.6406,17.1136,16.9117,16.843,105.054,59.5102,0.242742,0.186206,0.141105,0.103041,0.217043,0.15364,0.113584,0.0897038
CFA3S,16.1763,15.6174,15.1748,14.982,15.6773,15.2437,15.0617,15.0005,105.017,59.4646,0.244562,0.187602,0.142163,0.103813,0.21867,0.154792,0.114436,0.0903762
CFA3S,16.4183,15.8174,15.3808,15.016,16.0291,15.5796,15.4289,15.3789,104.899,59.4705,0.242861,0.186297,0.141174,0.103091,0.217148,0.153715,0.11364,0.0897476
CFA3S,17.6693,16.8824,16.3008,15.87,17.1645,16.5473,16.3097,16.2163,104.842,59.5469,0.24306,0.18645,0.14129,0.103176,0.217327,0.153841,0.113733,0.0898212
CFA3S,16.473,15.843,15.4032,15.0465,16.0777,15.6346,15.4774,15.4483,137.357,50.3266,0.0545191,0.0418213,0.0316917,0.0231426,0.048747,0.0345071,0.0255107,0.0201472
CFA3S,16.5782,16.0646,15.6678,15.3239,16.2279,15.8745,15.7474,15.728,160.067,24.1822,0.0790866,0.0606669,0.0459727,0.0335712,0.0707135,0.0500567,0.0370063,0.0292259
CFA3S,18.8359,18.2136,17.7021,17.1509,18.4927,18.008,17.7928,17.6455,160.044,24.0678,0.088007,0.0675098,0.0511581,0.0373578,0.0786895,0.0557028,0.0411804,0.0325224
CFA3S,16.705,15.981,15.4715,15.049,16.2539,15.7007,15.4922,15.4088,159.99,24.0515,0.0865283,0.0663755,0.0502985,0.0367301,0.0773674,0.0547669,0.0404885,0.031976
CFA3S,18.9146,18.4383,18.0222,17.7173,18.6108,18.2935,18.1392,18.05,159.953,24.0322,0.0803066,0.0616028,0.0466819,0.0340891,0.0718044,0.0508289,0.0375772,0.0296768
CFA3S,17.099,16.348,15.8012,15.3703,16.6322,16.0363,15.8158,15.7335,159.949,24.0552,0.0842585,0.0646343,0.0489791,0.0357666,0.0753379,0.0533302,0.0394264,0.0311372
CFA3S,16.7419,15.9463,15.4142,15.0103,16.249,15.644,15.4554,15.3905,159.948,24.076,0.087406,0.0670487,0.0508087,0.0371026,0.0781521,0.0553224,0.0408991,0.0323003
CFA3S,16.9439,16.4633,16.0922,15.7576,16.6267,16.3069,16.195,16.1744,159.93,24.1632,0.0877345,0.0673007,0.0509997,0.0372421,0.0784459,0.0555303,0.0410529,0.0324217
CFA3S,18.9774,18.5065,18.1068,17.7669,18.6471,18.5324,18.11,18.1787,179.366,25.1839,0.0682064,0.0523208,0.0396481,0.0289527,0.0609853,0.0431703,0.0319153,0.0252052
CFA3S,18.9265,18.346,17.8279,17.4338,18.5572,18.4165,18.1229,18.1673,179.251,25.1436,0.0641838,0.0492351,0.0373098,0.0272452,0.0573885,0.0406242,0.030033,0.0237187
CFA3S,15.6254,15.0699,14.6765,14.3453,15.2652,14.8873,14.7755,14.7647,167.787,55.2006,0.0405129,0.0310772,0.0235499,0.0171972,0.0362237,0.025642,0.0189568,0.0149713
CFA3S,16.395,15.7192,15.2612,14.8849,15.9725,15.4911,15.3403,15.2867,167.729,55.2379,0.0423921,0.0325188,0.0246423,0.0179949,0.0379039,0.0268315,0.0198362,0.0156657
CFA3S,15.3387,14.9029,14.5572,14.2553,15.0177,14.7393,14.6714,14.6839,167.724,55.1581,0.041172,0.0315828,0.0239331,0.017477,0.036813,0.0260592,0.0192653,0.0152149
CFA3S,18.1253,17.3825,16.8745,16.4895,17.6915,17.1344,16.9364,16.8746,167.685,55.2268,0.0448172,0.0343791,0.0260521,0.0190243,0.0400723,0.0283664,0.0209709,0.0165619
CFA3S,16.301,15.6362,15.1802,14.8022,15.871,15.3913,15.2324,15.1883,167.641,55.1414,0.0426058,0.0326827,0.0247666,0.0180856,0.038095,0.0269667,0.0199362,0.0157447
CFA3S,18.0766,17.6365,17.3205,17.0395,17.7889,17.5242,17.4367,17.4262,167.569,55.1944,0.0480696,0.036874,0.0279427,0.0204049,0.0429804,0.030425,0.0224928,0.0177638
CFA3S,17.5247,17.0489,16.731,16.5832,18.4076,17.9316,17.7741,17.6955,216.645,26.1957,0.0648874,0.0497748,0.0377188,0.0275438,0.0580177,0.0410696,0.0303622,0.0239787
CFA3S,17.4346,16.7451,16.3066,15.9231,17.0745,16.5684,16.3644,16.3019,216.627,26.2258,0.0673032,0.051628,0.0391231,0.0285693,0.0601777,0.0425986,0.0314926,0.0248715
CFA3S,16.8473,16.3265,15.9406,15.6268,16.4933,16.1474,16.0309,16.0089,216.58,26.22,0.0650249,0.0498803,0.0377987,0.0276022,0.0581406,0.0411566,0.0304266,0.0240295
CFA3S,16.8637,16.3798,16.0063,15.6998,16.5434,16.2216,16.1138,16.1017,216.564,26.2887,0.0646836,0.0496185,0.0376003,0.0274573,0.0578354,0.0409406,0.0302669,0.0239034
CFA3S,16.3386,15.4771,14.8699,14.4371,15.8177,15.1172,14.8697,14.7775,216.557,26.2389,0.0640078,0.0491001,0.0372075,0.0271705,0.0572312,0.0405128,0.0299507,0.0236537
CFA3S,18.2637,17.8328,17.5363,17.2092,18.0125,17.7343,17.6282,17.5988,216.542,26.2768,0.0635498,0.0487487,0.0369412,0.026976,0.0568217,0.0402229,0.0297363,0.0234844
CFA3S,15.8443,15.3228,14.9383,14.6272,15.4948,15.141,15.0177,14.9945,216.507,26.178,0.0583558,0.0447645,0.033922,0.0247713,0.0521776,0.0369355,0.0273059,0.021565
CFA3S,15.7946,15.2287,14.8245,14.486,15.4219,15.0481,14.8898,14.8676,248.746,76.0129,0.174917,0.134178,0.101678,0.0742499,0.156398,0.110711,0.0818474,0.0646395
CFA3S,18.0404,17.5391,17.1649,16.8607,17.723,17.4012,17.2641,17.2319,248.591,75.9432,0.164677,0.126323,0.0957262,0.0699033,0.147243,0.10423,0.0770561,0.0608555
