survey,CFA4P2-B,CFA4P2-V,CFA4P2-r,CFA4P2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P2-B_AV,CFA4P2-V_AV,CFA4P2-r_AV,CFA4P2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA4,16.9204,16.2216,15.9866,15.7547,16.4187,15.9295,15.6954,15.5983,44.5563,6.52149,0.652468,0.500536,0.410991,0.302365,0.594167,0.420599,0.310944,0.245569
CFA4,17.1964,16.4898,16.2414,15.9953,16.7081,16.2155,15.9859,15.899,44.5479,6.6066,0.767409,0.588713,0.483394,0.355631,0.698838,0.494694,0.365721,0.28883
CFA4,16.2039,15.5602,15.3559,15.1353,15.7557,15.2855,15.0786,15.0154,44.5168,6.54705,0.679881,0.521566,0.428259,0.315069,0.61913,0.43827,0.324008,0.255887
CFA4,16.4764,15.9471,15.7819,15.6277,16.1482,15.7745,15.643,15.6191,39.6088,-1.26426,0.108156,0.0829712,0.0681279,0.0501214,0.0984918,0.0697204,0.0515435,0.0407067
CFA4,16.3578,15.494,15.1502,14.8838,15.8499,15.1475,14.8916,14.798,39.5825,-1.37461,0.103547,0.0794354,0.0652246,0.0479855,0.0942945,0.0667493,0.0493469,0.038972
CFA4,15.6717,15.1538,15.0081,14.8753,15.3359,14.9814,14.852,14.8327,39.5231,-1.35239,0.104506,0.0801714,0.0658289,0.0484301,0.0951683,0.0673677,0.0498041,0.0393331
CFA4,17.1678,16.642,16.4778,16.3308,16.8375,16.4829,16.361,16.332,39.4848,-1.2432,0.109313,0.0838589,0.0688567,0.0506576,0.0995455,0.0704663,0.0520949,0.0411422
CFA4,16.461,15.8435,15.6217,15.3899,16.0861,15.6096,15.4233,15.3492,306.685,2.93796,0.471119,0.361416,0.296759,0.218325,0.429022,0.303696,0.224519,0.177315
CFA4,17.6574,16.9421,16.6783,16.4598,17.173,16.6488,16.4712,16.4008,306.684,2.90641,0.461487,0.354027,0.290692,0.213861,0.420251,0.297487,0.219929,0.17369
CFA4,17.491,16.7469,16.4492,16.1632,17.0453,16.4488,16.1837,16.0552,306.675,2.96402,0.471789,0.36193,0.297181,0.218635,0.429633,0.304128,0.224838,0.177567
CFA4,16.2021,15.5523,15.3347,15.1377,15.7863,15.3214,15.1418,15.0957,306.669,2.87179,0.444247,0.340801,0.279833,0.205872,0.404552,0.286374,0.211713,0.167201
CFA4,17.2846,16.6558,16.4423,16.2278,16.8947,16.4277,16.2432,16.1715,306.666,2.95013,0.470015,0.360569,0.296064,0.217813,0.428017,0.302985,0.223993,0.1769
CFA4,17.5317,16.8531,16.615,16.3995,17.0913,16.5977,16.417,16.3429,306.661,2.90707,0.45994,0.35284,0.289718,0.213144,0.418843,0.29649,0.219192,0.173108
CFA4,17.0569,16.3206,16.0496,15.7954,16.5858,16.0259,15.8183,15.7232,306.658,2.837,0.422238,0.323918,0.265969,0.195673,0.38451,0.272187,0.201224,0.158918
CFA4,17.6612,16.8428,16.5297,16.2469,17.118,16.495,16.2409,16.1359,306.657,2.92622,0.467998,0.359022,0.294794,0.216879,0.42618,0.301685,0.223032,0.176141
CFA4,17.5241,16.7808,16.5109,16.2586,17.0086,16.4871,16.2514,16.1686,306.654,2.91814,0.464464,0.35631,0.292567,0.215241,0.422962,0.299406,0.221347,0.17481
CFA4,17.1983,16.3048,15.9456,15.6147,16.6475,15.935,15.6136,15.4816,306.649,2.8838,0.450858,0.345873,0.283997,0.208935,0.410572,0.290636,0.214863,0.169689
CFA4,17.7216,16.7801,16.4065,16.047,17.2084,16.403,16.0771,15.9145,306.643,2.98032,0.46345,0.355533,0.291929,0.214771,0.422039,0.298753,0.220864,0.174429
CFA4,17.7581,16.8541,16.4569,16.1599,17.2153,16.4561,16.1923,16.058,306.64,2.95339,0.466806,0.358107,0.294043,0.216326,0.425095,0.300916,0.222464,0.175692
CFA4,16.0022,15.3445,15.1249,14.9237,15.5791,15.1025,14.9076,14.8575,306.638,2.83297,0.423974,0.325249,0.267062,0.196477,0.38609,0.273305,0.202051,0.159571
CFA4,17.6551,16.8777,16.5564,16.2409,17.1352,16.5615,16.3326,16.2405,306.637,2.93488,0.468366,0.359304,0.295025,0.217049,0.426516,0.301922,0.223207,0.176279
CFA4,17.3259,16.6315,16.3626,16.1145,16.8739,16.3392,16.1014,16.0084,306.633,2.82984,0.423362,0.32478,0.266677,0.196194,0.385533,0.272911,0.20176,0.159341
CFA4,17.8234,17.0662,16.8096,16.5798,17.2716,16.7648,16.579,16.5104,306.632,2.90622,0.46017,0.353017,0.289863,0.213251,0.419052,0.296639,0.219301,0.173194
CFA4,18.1718,17.3918,17.1475,16.8921,17.6026,17.0832,16.8732,16.7892,306.62,2.90924,0.460858,0.353544,0.290296,0.21357,0.419678,0.297082,0.219629,0.173453
CFA4,18.0475,17.4178,17.2289,16.998,17.5808,17.1561,16.9919,16.936,306.619,2.83418,0.428145,0.328449,0.26969,0.19841,0.389888,0.275994,0.204039,0.161141
CFA4,16.7234,16.0422,15.8287,15.6234,16.2583,15.7841,15.6114,15.5549,306.619,2.9229,0.464601,0.356416,0.292654,0.215304,0.423087,0.299495,0.221413,0.174862
CFA4,15.7699,15.1944,15.0168,14.8554,15.393,14.9954,14.8411,14.8128,306.617,2.84961,0.43615,0.33459,0.274732,0.20212,0.397178,0.281155,0.207854,0.164154
CFA4,17.6247,17.098,16.9133,16.7735,17.258,16.8799,16.745,16.7016,306.613,2.98987,0.453739,0.348083,0.285811,0.21027,0.413195,0.292493,0.216236,0.170774
CFA4,16.1197,15.5765,15.4256,15.2898,15.7517,15.384,15.274,15.2608,306.612,2.8263,0.424063,0.325318,0.267119,0.196518,0.386171,0.273363,0.202094,0.159605
CFA4,17.9676,17.3466,17.1536,16.9964,17.5847,17.1859,17.0039,16.9246,306.606,2.98315,0.453875,0.348187,0.285897,0.210334,0.413319,0.292581,0.216301,0.170825
CFA4,17.0424,16.3271,16.0807,15.8837,16.5328,16.0204,15.8377,15.7726,306.602,2.91903,0.461044,0.353687,0.290413,0.213656,0.419847,0.297202,0.219718,0.173523
CFA4,17.1283,16.5981,16.4031,16.2285,16.7569,16.3743,16.2075,16.1713,306.598,2.87385,0.44772,0.343465,0.28202,0.207481,0.407714,0.288613,0.213368,0.168508
CFA4,17.0964,16.4911,16.3218,16.1369,16.7518,16.3128,16.1402,16.0983,306.598,2.84614,0.436284,0.334693,0.274817,0.202182,0.3973,0.281241,0.207918,0.164204
CFA4,17.9504,17.3198,17.0981,16.9871,17.7461,17.3185,17.1452,17.0836,306.597,2.90065,0.456118,0.349908,0.28731,0.211373,0.415361,0.294026,0.21737,0.171669
CFA4,17.6679,16.9823,16.7554,16.5707,17.2265,16.7293,16.5333,16.4755,306.594,2.86915,0.445445,0.34172,0.280587,0.206427,0.405642,0.287146,0.212284,0.167652
CFA4,16.5737,15.9789,15.7592,15.5908,16.1853,15.7565,15.5897,15.5454,306.593,2.9041,0.456287,0.350038,0.287417,0.211451,0.415516,0.294135,0.217451,0.171733
CFA4,17.475,16.6802,16.3825,16.0915,16.9762,16.3447,16.0587,15.9532,306.592,2.87102,0.446072,0.342201,0.280982,0.206718,0.406213,0.28755,0.212583,0.167888
CFA4,17.8426,17.2391,17.0153,16.8009,17.4243,16.9523,16.7458,16.6822,306.579,2.88098,0.448591,0.344133,0.282569,0.207885,0.408507,0.289174,0.213783,0.168836
CFA4,16.7971,16.122,15.9147,15.7227,16.3497,15.8615,15.6854,15.6327,306.577,2.8706,0.444534,0.341021,0.280013,0.206005,0.404813,0.286559,0.211849,0.167309
CFA4,17.6599,17.0844,16.9037,16.7629,17.2211,16.8242,16.6712,16.6143,306.577,2.89962,0.452784,0.347351,0.28521,0.209828,0.412326,0.291877,0.215781,0.170415
CFA4,17.1841,16.5509,16.3384,16.1802,16.7486,16.3101,16.1369,16.0885,306.574,2.89437,0.451094,0.346054,0.284146,0.209045,0.410787,0.290788,0.214976,0.169778
CFA4,17.7228,17.0275,16.8099,16.5944,17.339,16.8398,16.6308,16.552,306.572,2.86047,0.441388,0.338608,0.278032,0.204547,0.401948,0.284531,0.210351,0.166125
