survey,CSP-g,CSP-r,CSP-i,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-g_AV,CSP-r_AV,CSP-i_AV,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CSP,16.9754,16.2983,16.0275,17.3988,16.5951,16.5951,16.5951,16.5951,16.879,16.2975,16.0353,15.9199,340.55,20.0069,0.173829,0.119934,0.087534,0.189353,0.149289,0.147297,0.147297,0.147297,0.170419,0.120636,0.0891847,0.0704341
CSP,17.9531,17.5134,17.3643,18.2704,17.6941,17.6941,17.6941,17.6941,17.8919,17.5123,17.3774,17.346,340.515,19.9877,0.170706,0.117779,0.0859612,0.185951,0.146607,0.14465,0.14465,0.14465,0.167356,0.118468,0.0875822,0.0691685
CSP,17.3396,16.8677,16.6983,17.6703,17.0482,17.0482,17.0482,17.0482,17.2602,16.8545,16.718,16.6941,340.513,20.0068,0.172833,0.119246,0.0870323,0.188268,0.148434,0.146453,0.146453,0.146453,0.169442,0.119945,0.0886735,0.0700304
CSP,18.644,18.0704,17.8554,18.9868,18.3163,18.3163,18.3163,18.3163,18.5403,18.0247,17.8504,17.7719,340.557,19.9917,0.172963,0.119336,0.0870976,0.188409,0.148545,0.146562,0.146562,0.146562,0.169569,0.120035,0.08874,0.0700829
CSP,18.1141,17.4555,17.2344,18.5402,17.7725,17.7725,17.7725,17.7725,18.035,17.4439,17.2304,17.137,308.23,9.91015,0.342549,0.236342,0.172495,0.373141,0.294191,0.290264,0.290264,0.290264,0.335828,0.237726,0.175748,0.138798
CSP,18.1977,17.6439,17.4574,18.5787,17.9067,17.9067,17.9067,17.9067,18.1393,17.7021,17.483,17.4437,308.228,9.94229,0.341738,0.235782,0.172087,0.372257,0.293494,0.289577,0.289577,0.289577,0.335033,0.237163,0.175332,0.138469
CSP,18.7674,18.3781,18.2423,19.0963,18.5806,18.5806,18.5806,18.5806,18.6452,18.3019,18.1615,18.1108,308.226,9.93654,0.341905,0.235898,0.172171,0.37244,0.293638,0.289719,0.289719,0.289719,0.335197,0.237279,0.175418,0.138537
CSP,17.8171,17.0904,16.8135,18.4051,17.5219,17.5219,17.5219,17.5219,17.7312,17.0785,16.8319,16.6995,308.198,9.93444,0.341651,0.235722,0.172043,0.372162,0.293419,0.289503,0.289503,0.289503,0.334947,0.237102,0.175287,0.138434
CSP,16.417,15.5531,15.2296,16.9439,15.9506,15.9506,15.9506,15.9506,16.3204,15.5547,15.2386,15.1084,308.244,9.97111,0.339454,0.234207,0.170937,0.36977,0.291533,0.287642,0.287642,0.287642,0.332794,0.235578,0.17416,0.137544
CSP,17.9501,17.3699,17.1874,18.3527,17.6493,17.6493,17.6493,17.6493,17.8658,17.3636,17.1568,17.1048,308.196,9.9148,0.342089,0.236025,0.172264,0.37264,0.293796,0.289874,0.289874,0.289874,0.335377,0.237407,0.175512,0.138612
CSP,16.1063,15.4399,15.1955,16.5133,15.7314,15.7314,15.7314,15.7314,16.0096,15.4404,15.203,15.134,327.279,0.490704,0.419346,0.289328,0.211167,0.456797,0.360147,0.355339,0.355339,0.355339,0.411119,0.291023,0.21515,0.169916
CSP,17.0654,16.6061,16.4124,17.3397,16.7855,16.7855,16.7855,16.7855,16.9846,16.596,16.438,16.3904,327.298,0.41476,0.431393,0.29764,0.217233,0.469919,0.370492,0.365547,0.365547,0.365547,0.422928,0.299383,0.22133,0.174797
