survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,17.4633,16.7557,16.5379,16.4279,17.4374,16.8223,16.5868,16.4859,41.628,-0.513808,0.108534,0.0722263,0.0528787,0.0402803,0.1074,0.0760262,0.0562052,0.0443884
D3YR,18.0244,17.3229,17.0663,16.9335,17.9672,17.376,17.0924,17.0047,43.3746,0.890221,0.265478,0.176667,0.129343,0.0985267,0.262703,0.185962,0.137479,0.108575
D3YR,18.4338,17.9759,17.8483,17.7929,18.3836,17.988,17.859,17.8152,43.0351,0.0511453,0.220908,0.147008,0.107628,0.0819857,0.218599,0.154742,0.114399,0.0903471
D3YR,16.7928,16.269,16.1288,16.0622,16.752,16.3136,16.1413,16.0914,42.0218,0.361148,0.14352,0.0955085,0.0699241,0.0532647,0.14202,0.100533,0.074323,0.058697
D3YR,18.9438,18.1665,17.9252,17.7977,18.8429,18.233,17.9273,17.8156,41.1161,0.450625,0.101889,0.0678038,0.0496408,0.0378139,0.100823,0.0713709,0.0527637,0.0416704
D3YR,17.4329,16.6811,16.4565,16.3346,17.3887,16.739,16.4753,16.3731,41.9474,0.479819,0.13169,0.0876354,0.0641601,0.0488739,0.130313,0.092246,0.0681963,0.0538584
D3YR,18.3814,17.6488,17.3852,17.2389,18.3416,17.7114,17.4165,17.2838,42.7524,0.476545,0.215751,0.143576,0.105115,0.0800716,0.213495,0.151129,0.111728,0.0882377
D3YR,18.3958,17.9634,17.8553,17.8254,18.3724,18,17.8726,17.8425,40.4974,-0.580347,0.0965797,0.0642709,0.0470543,0.0358436,0.0955701,0.0676522,0.0500144,0.0394992
D3YR,17.921,17.3109,17.142,17.0635,17.8832,17.3664,17.1614,17.0957,40.5126,-0.638151,0.100158,0.066652,0.0487975,0.0371715,0.0991107,0.0701585,0.0518673,0.0409625
D3YR,17.7146,17.1352,16.9506,16.8582,17.6789,17.1771,16.9655,16.8868,41.8818,0.179747,0.138906,0.0924376,0.0676759,0.0515521,0.137454,0.0973008,0.0719333,0.0568097
D3YR,17.8131,17.2925,17.14,17.0728,17.7628,17.3464,17.1579,17.0905,43.2222,0.198462,0.229801,0.152926,0.111961,0.085286,0.227399,0.160971,0.119004,0.093984
D3YR,16.7522,16.3984,16.2974,16.2597,16.72,16.4228,16.2989,16.2727,42.6833,-0.158539,0.19674,0.130925,0.0958533,0.0730163,0.194684,0.137813,0.101883,0.0804629
D3YR,17.4801,16.589,16.3167,16.1609,17.4245,16.6572,16.3522,16.2184,42.6885,-0.189629,0.192054,0.127806,0.09357,0.071277,0.190046,0.13453,0.0994564,0.0785462
D3YR,17.9224,17.2485,17.0179,16.8935,17.8867,17.3085,17.0521,16.9392,41.4015,-0.110023,0.0969016,0.0644851,0.0472111,0.0359631,0.0958886,0.0678776,0.0501811,0.0396308
D3YR,18.2403,18.2927,18.2772,18.3806,18.9489,19.1267,18.3714,19.1481,41.3903,-0.129179,0.0958139,0.0637613,0.0466812,0.0355594,0.0948123,0.0671158,0.0496179,0.039186
D3YR,18.2322,17.9924,18.0255,18.0915,18.3304,18.0631,17.989,18.2597,41.5712,-0.100753,0.0992225,0.0660296,0.0483419,0.0368244,0.0981853,0.0695034,0.051383,0.04058
D3YR,18.5325,17.9076,17.7092,17.604,18.45,17.9405,17.7218,17.6457,43.2092,-0.0625082,0.182334,0.121337,0.0888341,0.0676694,0.180427,0.127721,0.0944226,0.0745708
D3YR,17.8709,17.2344,17.0273,16.9268,17.8203,17.2861,17.0556,16.9594,41.5596,-0.936904,0.0947997,0.0630864,0.0461871,0.035183,0.0938087,0.0664054,0.0490927,0.0387712
D3YR,18.7262,18.2673,18.1367,18.0701,18.6576,18.3107,18.1298,18.087,43.3027,0.869828,0.263905,0.175621,0.128576,0.0979429,0.261146,0.18486,0.136665,0.107932
D3YR,18.8107,18.0725,17.8455,17.7219,18.758,18.1227,17.8733,17.7665,43.1941,0.827389,0.254689,0.169488,0.124086,0.0945227,0.252027,0.178405,0.131892,0.104163
D3YR,18.237,17.5734,17.372,17.2681,18.187,17.6384,17.393,17.31,42.888,0.906741,0.215706,0.143546,0.105093,0.080055,0.213451,0.151098,0.111705,0.0882195
D3YR,18.3659,17.9594,17.8243,17.7808,18.3338,17.9784,17.838,17.805,41.0278,0.480421,0.108011,0.0718778,0.0526235,0.040086,0.106881,0.0756593,0.055934,0.0441742
D3YR,18.672,17.8701,17.6043,17.4612,18.646,17.9362,17.6379,17.5212,42.1425,-1.14631,0.159298,0.106008,0.0776112,0.0591203,0.157633,0.111585,0.0824936,0.0651498
D3YR,17.5328,17.1181,17.0079,16.9703,17.4836,17.1459,17.013,16.9836,41.7361,-1.15942,0.109476,0.072853,0.0533375,0.0406298,0.108332,0.0766858,0.0566929,0.0447735
D3YR,18.7175,18.3126,18.1823,18.207,18.5119,18.3525,18.1907,18.0726,41.588,-0.0311415,0.0986001,0.0656154,0.0480386,0.0365934,0.0975693,0.0690674,0.0510607,0.0403255
D3YR,18.266,17.675,17.4861,17.3938,18.2225,17.7393,17.5149,17.4374,41.599,-0.101175,0.0994205,0.0661613,0.0484383,0.0368979,0.0983812,0.0696421,0.0514856,0.040661
D3YR,17.4842,17.0038,16.882,16.8399,17.4731,17.0414,16.8934,16.8662,40.5268,-1.28407,0.0939111,0.062495,0.0457541,0.0348532,0.0929294,0.0657829,0.0486325,0.0384078
D3YR,18.9287,18.2215,17.9709,17.8436,18.8979,18.2711,18.0001,17.8804,40.5251,-1.24507,0.0966361,0.0643084,0.0470818,0.0358646,0.0956259,0.0676917,0.0500437,0.0395222
D3YR,18.6403,18.175,18.043,17.9877,18.6618,18.2178,18.0479,18.0701,42.86,0.889322,0.213746,0.142241,0.104138,0.0793275,0.211511,0.149725,0.11069,0.0874178
D3YR,18.3796,17.7869,17.6146,17.5203,18.3504,17.8309,17.6337,17.5359,42.8122,-1.70072,0.222164,0.147843,0.10824,0.0824517,0.219841,0.155621,0.115049,0.0908606
D3YR,18.8403,18.0098,17.7461,17.618,18.7794,18.0774,17.771,17.6797,41.0939,0.466746,0.102814,0.0684194,0.0500916,0.0381573,0.101739,0.072019,0.0532428,0.0420488
D3YR,17.5472,17.0274,16.8533,16.7859,17.5045,17.0567,16.8649,16.8088,41.1073,0.453822,0.102123,0.0679597,0.049755,0.0379009,0.101055,0.0715351,0.052885,0.0417662
D3YR,18.0603,17.4705,17.2896,17.2124,18.0145,17.5026,17.3028,17.2468,41.0692,0.449179,0.104086,0.069266,0.0507113,0.0386294,0.102998,0.0729101,0.0539015,0.042569
D3YR,18.6968,17.9732,17.769,17.6677,18.6463,18.0194,17.7858,17.6986,41.0571,0.472623,0.105379,0.0701263,0.0513412,0.0391092,0.104277,0.0738157,0.054571,0.0430977
D3YR,18.8063,18.2605,18.0867,18.0055,18.7754,18.3095,18.084,18.0316,40.5844,0.00917873,0.102496,0.0682082,0.0499369,0.0380394,0.101425,0.0717966,0.0530784,0.0419189
D3YR,17.8875,17.0739,16.796,16.6348,17.8376,17.1544,16.8319,16.6958,40.7262,-0.101,0.105813,0.0704155,0.0515529,0.0392704,0.104707,0.07412,0.054796,0.0432755
D3YR,18.0177,17.1965,16.9514,16.8254,17.9814,17.2831,16.9835,16.884,40.7334,-0.081034,0.10733,0.0714247,0.0522918,0.0398333,0.106208,0.0751824,0.0555815,0.0438957
D3YR,18.4707,18.1238,17.8331,17.7865,18.3432,18.0485,17.7533,17.6991,43.4206,0.18612,0.240027,0.159731,0.116943,0.0890811,0.237517,0.168134,0.124299,0.0981661
D3YR,18.5521,17.9407,17.7467,17.6496,18.5017,17.9898,17.7669,17.686,43.3863,0.284664,0.263029,0.175038,0.128149,0.0976178,0.260279,0.184246,0.136211,0.107573
D3YR,18.5805,18.061,17.9051,17.834,18.5326,18.1039,17.9238,17.8739,43.368,0.279341,0.263799,0.17555,0.128525,0.0979036,0.261041,0.184786,0.13661,0.107888
D3YR,17.3181,16.8177,16.6661,16.5931,17.2789,16.8545,16.6823,16.6104,43.6586,-0.312371,0.219126,0.145822,0.10676,0.0813243,0.216836,0.153494,0.113476,0.0896183
D3YR,17.6183,16.8294,16.5983,16.4772,17.5772,16.8835,16.6302,16.5142,43.6711,-0.329634,0.219572,0.146118,0.106977,0.0814896,0.217276,0.153806,0.113707,0.0898005
D3YR,18.6018,17.7713,17.5197,17.3842,18.4653,17.8557,17.5472,17.4242,41.4814,-1.87454,0.139526,0.0928501,0.0679778,0.0517821,0.138067,0.0977349,0.0722542,0.0570632
