survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
DES,16.0697,15.5385,15.3379,15.2318,16.0531,15.59,15.3589,15.2613,42.7461,0.858739,0.181623,0.120865,0.088488,0.0674058,0.179724,0.127223,0.0940547,0.0742802
DES,15.9652,15.1486,14.9174,14.7912,15.909,15.2087,14.9407,14.8306,42.6788,0.956575,0.181364,0.120692,0.0883617,0.0673095,0.179468,0.127042,0.0939204,0.0741741
DES,17.8277,17.3886,17.2557,17.1957,17.7756,17.4105,17.2565,17.2184,42.4633,0.481367,0.171284,0.113984,0.0834505,0.0635685,0.169493,0.119981,0.0887003,0.0700516
DES,16.373,15.7887,15.6124,15.5348,16.3357,15.8159,15.62,15.5589,42.6265,0.733546,0.167349,0.111366,0.0815335,0.0621081,0.165599,0.117225,0.0866627,0.0684423
DES,18.1555,17.5621,17.3874,17.2994,18.1309,17.5871,17.4051,17.3253,42.0381,0.933261,0.157496,0.104809,0.0767331,0.0584514,0.155849,0.110323,0.0815603,0.0644127
DES,18.6878,17.9225,17.6524,17.5029,18.61,17.9869,17.686,17.5666,42.6208,0.987536,0.175786,0.11698,0.0856443,0.0652395,0.173949,0.123135,0.0910321,0.0718931
DES,18.5516,18.2303,18.1323,18.1017,18.4922,18.2459,18.1366,18.1028,42.5438,0.973197,0.176987,0.117779,0.0862291,0.065685,0.175136,0.123976,0.0916536,0.072384
DES,18.2799,17.6142,17.4053,17.2968,18.2478,17.6612,17.4357,17.3408,42.6195,0.977562,0.17527,0.116637,0.0853926,0.0650478,0.173437,0.122773,0.0907645,0.0716818
DES,18.4732,17.8995,17.7249,17.6339,18.4353,17.937,17.7427,17.6695,41.8782,0.988425,0.133177,0.0886256,0.064885,0.0494261,0.131785,0.0932882,0.0689668,0.0544669
DES,17.8057,17.0896,16.8666,16.7434,17.7718,17.1367,16.879,16.7901,42.9804,0.994344,0.203465,0.1354,0.0991296,0.075512,0.201338,0.142523,0.105366,0.0832131
DES,17.0315,16.2807,16.0459,15.9139,16.9886,16.324,16.0633,15.967,43.0339,0.992984,0.212537,0.141437,0.10355,0.0788789,0.210315,0.148878,0.110064,0.0869235
DES,16.3706,15.7418,15.558,15.4637,16.3394,15.7883,15.5697,15.4992,42.5056,0.710262,0.159761,0.106316,0.0778365,0.0592919,0.158091,0.111909,0.0827331,0.0653389
