survey,Foundation-g,Foundation-r,Foundation-i,Foundation-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,Foundation-g_AV,Foundation-r_AV,Foundation-i_AV,Foundation-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
Foundation,18.0215,17.6637,17.5195,17.5035,18.015,17.655,17.5217,17.55,37.2456,-3.54806,0.0956108,0.067681,0.0500358,0.039516,0.0956108,0.067681,0.0500358,0.039516
Foundation,18.5645,18.1828,18.0039,17.9791,18.5617,18.2036,18.0151,17.9737,37.1818,-3.45408,0.0908407,0.0643044,0.0475394,0.0375445,0.0908407,0.0643044,0.0475394,0.0375445
Foundation,17.4109,17.1051,16.9894,16.9641,17.4229,17.108,16.9881,16.9574,37.2352,-3.4635,0.0916829,0.0649006,0.0479802,0.0378926,0.0916829,0.0649006,0.0479802,0.0378926
Foundation,18.4904,17.9384,17.6691,17.5909,18.4959,17.9122,17.6503,17.5542,37.314,-3.62419,0.0882383,0.0624622,0.0461775,0.0364689,0.0882383,0.0624622,0.0461775,0.0364689
Foundation,18.0625,17.5565,17.3238,17.2514,18.0445,17.5555,17.3346,17.2516,37.0434,-3.59303,0.101895,0.0721295,0.0533245,0.0421133,0.101895,0.0721295,0.0533245,0.0421133
Foundation,18.612,18.2489,18.0784,18.0381,18.5893,18.2488,18.0774,18.0474,37.0843,-3.60948,0.0996649,0.0705509,0.0521574,0.0411916,0.0996649,0.0705509,0.0521574,0.0411916
Foundation,17.7265,17.4345,17.3521,17.3369,17.713,17.4386,17.3515,17.3569,37.1121,-3.72263,0.0943135,0.0667627,0.0493568,0.0389798,0.0943135,0.0667627,0.0493568,0.0389798
Foundation,18.5635,18.2871,18.1649,18.1453,18.5626,18.2733,18.1685,18.1523,37.1672,-3.75551,0.0904199,0.0640064,0.0473192,0.0373706,0.0904199,0.0640064,0.0473192,0.0373706
Foundation,18.5386,17.9908,17.7851,17.7052,18.5648,18.0031,17.7769,17.7115,37.2261,-3.6738,0.0906673,0.0641816,0.0474487,0.0374728,0.0906673,0.0641816,0.0474487,0.0374728
Foundation,18.0161,17.4663,17.204,17.1027,18.0031,17.4709,17.2197,17.1266,37.2542,-3.70387,0.0846245,0.059904,0.0442863,0.0349754,0.0846245,0.059904,0.0442863,0.0349754
