survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SDSS,18.4162,17.8596,17.6594,17.5695,18.3169,17.8607,17.6571,17.5874,308.501,0.695074,0.318654,0.218971,0.162202,0.121206,0.307316,0.217543,0.160827,0.127014
SDSS,16.587,16.0102,15.8137,15.7252,16.4993,16.011,15.8157,15.7467,308.501,1.19982,0.317052,0.21787,0.161386,0.120596,0.30577,0.216449,0.160018,0.126375
SDSS,18.9659,18.408,18.231,18.1197,18.9463,18.4028,18.2147,18.1333,308.502,-0.10842,0.411741,0.282938,0.209585,0.156613,0.397091,0.281093,0.207808,0.164118
SDSS,18.4916,17.646,17.363,17.1983,18.3964,17.6473,17.3712,17.2564,308.502,0.334669,0.378811,0.260309,0.192822,0.144087,0.365332,0.258611,0.191188,0.150992
SDSS,18.1027,17.4983,17.2616,17.1324,18.0201,17.4947,17.2633,17.1584,308.502,-0.574167,0.592742,0.407316,0.301718,0.225459,0.57165,0.40466,0.29916,0.236263
SDSS,18.1274,17.6435,17.4757,17.4083,18.0354,17.6436,17.4841,17.4245,308.503,1.23391,0.31846,0.218837,0.162103,0.121132,0.307129,0.21741,0.160729,0.126936
SDSS,18.3891,17.7885,17.5791,17.4645,18.324,17.7891,17.5856,17.5041,308.503,1.07936,0.314687,0.216245,0.160182,0.119697,0.30349,0.214834,0.158824,0.125432
SDSS,16.0705,15.6312,15.4865,15.4372,16.0061,15.627,15.4799,15.4601,308.503,1.12277,0.309803,0.212888,0.157696,0.117839,0.298779,0.2115,0.156359,0.123486
SDSS,18.3319,17.8332,17.6578,17.6022,18.2807,17.8428,17.6737,17.6171,308.504,1.20007,0.315882,0.217066,0.16079,0.120151,0.304642,0.21565,0.159428,0.125909
SDSS,18.7359,17.9874,17.722,17.538,18.6907,18.0038,17.7153,17.5597,308.505,-0.994136,0.599612,0.412038,0.305215,0.228073,0.578277,0.409351,0.302628,0.239002
SDSS,16.3461,15.5539,15.2481,15.0906,16.2293,15.5616,15.2602,15.1311,308.505,1.19651,0.315479,0.216789,0.160585,0.119998,0.304253,0.215375,0.159224,0.125748
SDSS,18.904,18.3375,18.134,18.054,18.8337,18.3422,18.1536,18.0809,308.505,0.317692,0.377889,0.259675,0.192353,0.143737,0.364443,0.257982,0.190723,0.150624
SDSS,17.7473,17.2949,17.1193,17.0636,17.6851,17.2883,17.1043,17.0568,308.505,1.24087,0.318452,0.218832,0.162099,0.121129,0.307121,0.217405,0.160725,0.126933
SDSS,18.824,18.4237,18.2671,18.2079,18.7638,18.4363,18.2855,18.2173,308.505,0.24871,0.378276,0.259941,0.19255,0.143884,0.364816,0.258246,0.190918,0.150778
SDSS,17.9663,17.4418,17.2613,17.169,17.8905,17.4489,17.2648,17.1995,308.505,0.681141,0.319118,0.219289,0.162437,0.121382,0.307763,0.217859,0.161061,0.127199
SDSS,16.7476,16.182,16.0064,15.9016,16.6497,16.1849,16.0001,15.936,308.506,-0.0775507,0.410418,0.282028,0.208911,0.15611,0.395814,0.280189,0.20714,0.16359
SDSS,17.9798,17.378,17.1673,17.0655,17.9249,17.3796,17.1785,17.1042,308.506,1.12716,0.308992,0.212331,0.157283,0.11753,0.297997,0.210946,0.15595,0.123162
SDSS,17.809,17.2866,17.1207,17.0222,17.7465,17.2834,17.1074,17.0789,308.506,0.731802,0.314262,0.215952,0.159966,0.119535,0.30308,0.214544,0.15861,0.125263
SDSS,17.5423,16.7665,16.5317,16.3774,17.4253,16.7743,16.526,16.4266,308.507,-0.0902504,0.410578,0.282138,0.208993,0.15617,0.395968,0.280298,0.207221,0.163654
SDSS,16.3985,15.5902,15.3212,15.1628,16.2841,15.5909,15.3123,15.1978,308.507,-0.0513829,0.409333,0.281283,0.208359,0.155697,0.394768,0.279449,0.206593,0.163158
SDSS,18.9823,18.339,18.0955,17.9701,18.8846,18.3279,18.1124,18.0137,308.508,-0.900991,0.609183,0.418614,0.310086,0.231713,0.587506,0.415884,0.307458,0.242817
SDSS,17.5791,16.7601,16.4439,16.2636,17.4509,16.7547,16.4491,16.3025,308.508,0.331249,0.378345,0.259989,0.192585,0.14391,0.364882,0.258293,0.190953,0.150806
SDSS,17.0037,16.4946,16.317,16.2304,16.9296,16.4915,16.3087,16.246,308.508,0.644217,0.324561,0.22303,0.165208,0.123452,0.313012,0.221575,0.163808,0.129368
SDSS,15.8204,15.0176,14.7659,14.6584,15.6947,15.0207,14.7733,14.6754,308.508,1.20662,0.313917,0.215716,0.15979,0.119404,0.302747,0.214309,0.158436,0.125126
SDSS,18.2411,17.2741,16.9697,16.8043,18.1098,17.2868,16.9806,16.8544,308.508,-0.00223898,0.398617,0.273919,0.202904,0.151621,0.384433,0.272132,0.201184,0.158886
SDSS,17.553,16.8832,16.6633,16.5433,17.479,16.8878,16.6623,16.5718,308.509,0.663634,0.321514,0.220936,0.163657,0.122293,0.310073,0.219495,0.16227,0.128153
SDSS,18.3773,17.6777,17.4005,17.2521,18.2773,17.6662,17.4135,17.3026,308.509,-0.527301,0.561863,0.386097,0.286,0.213714,0.54187,0.383579,0.283575,0.223955
