survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SNLS,18.4959,18.1337,17.9926,17.9373,18.493,18.1533,18.006,17.9615,36.5328,-4.99668,0.0989729,0.069862,0.0511571,0.039956,0.100505,0.0711458,0.0525972,0.0415389
SNLS,17.3956,16.9284,16.7524,16.6744,17.3965,16.9466,16.7656,16.7044,36.4739,-4.99286,0.0919888,0.0649321,0.0475472,0.0371365,0.0934131,0.0661253,0.0488856,0.0386077
SNLS,18.5164,18.1438,18.0278,17.986,18.5014,18.1439,18.0247,18.0121,36.1498,-4.98835,0.0867357,0.0612241,0.044832,0.0350158,0.0880787,0.0623492,0.046094,0.036403
SNLS,18.5719,18.0285,17.8335,17.7422,18.5889,18.048,17.8357,17.7456,36.1586,-4.98746,0.0862107,0.0608535,0.0445606,0.0348038,0.0875456,0.0619718,0.045815,0.0361826
SNLS,17.1386,16.7612,16.6248,16.5755,17.1333,16.7645,16.6293,16.5906,36.6025,-4.98358,0.0926693,0.0654124,0.0478989,0.0374112,0.0941042,0.0666145,0.0492473,0.0388933
SNLS,18.4333,17.9362,17.7206,17.6209,18.4519,17.9505,17.727,17.6333,36.3104,-4.98433,0.083378,0.058854,0.0430964,0.0336603,0.084669,0.0599355,0.0443096,0.0349937
SNLS,17.3481,16.6209,16.307,16.1548,17.3751,16.6578,16.3294,16.1929,36.5812,-4.98033,0.0944254,0.066652,0.0488066,0.0381202,0.0958875,0.0678768,0.0501805,0.0396303
SNLS,17.5483,17.0864,16.9239,16.8655,17.5678,17.0935,16.9645,16.8953,36.8101,-4.97632,0.0815296,0.0575492,0.042141,0.032914,0.0827919,0.0586068,0.0433273,0.034218
SNLS,17.3417,16.785,16.5959,16.5073,17.3494,16.8021,16.6045,16.5337,36.7046,-4.97563,0.0788833,0.0556813,0.0407732,0.0318457,0.0801047,0.0567046,0.041921,0.0331073
SNLS,18.4816,17.9099,17.6659,17.5407,18.4846,17.9372,17.6668,17.5558,36.1326,-4.97637,0.0888286,0.0627014,0.0459137,0.0358607,0.090204,0.0638536,0.0472062,0.0372813
SNLS,17.4207,16.8011,16.5733,16.4645,17.4271,16.8251,16.5821,16.4895,36.557,-4.97177,0.0946121,0.0667838,0.0489031,0.0381956,0.0960771,0.0680111,0.0502798,0.0397087
SNLS,18.8129,18.3507,18.1678,18.0902,18.8094,18.3475,18.1895,18.1085,36.6033,-4.96971,0.0904092,0.0638171,0.0467307,0.0364988,0.0918091,0.0649899,0.0480462,0.0379448
