survey,ATLAS-c0,ATLAS-o0,ATLAS-c1,ATLAS-o1,ATLAS-c2,ATLAS-o2,ATLAS-c3,ATLAS-o3,ATLAS-c4,ATLAS-o4,ATLAS-c5,ATLAS-o5,ATLAS-c6,ATLAS-o6,ATLAS-c7,ATLAS-o7,ATLAS-c8,ATLAS-o8,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ATLAS,-999.0,16.90009780020705,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,17.85590297095102,16.905041158112567,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,16.893518430551673,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.842725800146102,16.90467424882589,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.823702355494156,16.905054177226113,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.806982992537385,16.893708548817784,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.810106515180994,16.894634572123067,-999.0,-999.0,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.847810835031172,16.89565817901185,-999.0,-999.0,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.84345125255198,16.871400507998825,18.492399215698242,17.251699447631836,16.570600509643555,16.252899169921875,31.00138132120119,0.7220708122982344
ATLAS,-999.0,17.688670971378833,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,18.040299297078658,17.679736894734198,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,17.67707413205703,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.05291390451012,17.68335503377785,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.013340080048486,17.668785617595166,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.01119438205466,17.67307734212764,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
ATLAS,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.005510422209454,17.673071457467238,-999.0,-999.0,-999.0,-999.0,18.26180076599121,17.767799377441406,17.58370018005371,17.525100708007812,31.00355273755075,0.5280444465154457
