survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,18.0230999,17.6324997,17.5032997,17.4806995,18.021499633789062,17.663700103759766,17.519500732421875,17.50349998474121,37.2455563,-3.54806494
PS1SN,18.549699800000003,18.137300500000002,17.9937,17.947399100000002,18.56450080871582,18.18280029296875,18.0039005279541,17.97909927368164,37.18177046,-3.45407585
PS1SN,17.4218006,17.0790997,16.9775009,16.9587002,17.410900115966797,17.105100631713867,16.98940086364746,16.964099884033203,37.23519703,-3.4634985
PS1SN,18.475799600000002,17.902700399999997,17.6615009,17.560100600000002,18.490400314331055,17.938400268554688,17.669099807739258,17.590900421142578,37.3140493,-3.62419141
PS1SN,18.0655003,17.5244999,17.3136005,17.224800100000003,18.0625,17.556499481201172,17.32379913330078,17.251399993896484,37.04337001,-3.59303385
PS1SN,18.7234993,17.6156998,17.1455994,16.9267998,18.73349952697754,17.66069984436035,17.163999557495117,16.954500198364258,37.23559698,-3.56238908
PS1SN,18.832399399999996,17.831399899999997,17.4087009,17.211799600000003,18.86440086364746,17.861499786376953,17.435300827026367,17.2367000579834,37.06445107,-3.70179031
PS1SN,18.5851002,18.205600699999998,18.0617008,18.0132008,18.61199951171875,18.248899459838867,18.078399658203125,18.03809928894043,37.0842999,-3.60947533
PS1SN,18.1107006,17.2859993,16.958999600000002,16.815599399999996,18.140300750732422,17.321399688720703,16.98270034790039,16.850900650024414,37.27975398,-3.79814346
PS1SN,18.8859005,17.717899300000003,17.163099300000003,16.9029007,18.9158992767334,17.749900817871094,17.17490005493164,16.937000274658203,37.29137218,-3.80347061
PS1SN,17.693399399999997,17.412799800000002,17.322500199999997,17.3125992,17.726499557495117,17.434499740600586,17.352100372314453,17.33690071105957,37.11207749,-3.72262884
PS1SN,18.8929005,17.6725998,16.9827003,16.6632996,18.90880012512207,17.70829963684082,17.00349998474121,16.68560028076172,37.25285134,-3.73556636
PS1SN,18.3227997,18.1208,18.0757999,18.086700399999998,18.32080078125,18.18429946899414,18.085100173950195,18.11669921875,37.16669521,-3.74209476
