survey version standard shift  ATLAS-c0 ATLAS-o0 ATLAS-c1 ATLAS-o1 ATLAS-c2 ATLAS-o2 ATLAS-c3 ATLAS-o3 ATLAS-c4 ATLAS-o4 ATLAS-c5 ATLAS-o5 ATLAS-c6 ATLAS-o6 ATLAS-c7 ATLAS-o7 ATLAS-c8 ATLAS-o8 
ATLAS ATLAS sdssj235144 0 18.204 18.5735 18.204 18.5735 18.204 18.5735 18.204 18.5735 18.204 18.5735 18.204 18.5735 18.204 18.5735 18.204 18.5735 18.204 18.5735
ATLAS ATLAS sdssj235144 0 18.2 18.5702 18.2 18.5702 18.2 18.5702 18.2 18.5702 18.2 18.5702 18.2 18.5702 18.2 18.5702 18.2 18.5702 18.2 18.5702
ATLAS ATLAS sdssj235144 0 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701 18.2001 18.5701
ATLAS ATLAS sdssj235144 0 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706 18.2009 18.5706
ATLAS ATLAS sdssj235144 0 18.2 18.5699 18.2 18.5699 18.2 18.5699 18.2 18.5699 18.2 18.5699 18.2 18.5699 18.2 18.5699 18.2 18.5699 18.2 18.5699
ATLAS ATLAS sdssj235144 0 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732 18.2028 18.5732
ATLAS ATLAS sdssj235144 0 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716 18.2013 18.5716
ATLAS ATLAS sdssj235144 0 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732 18.2027 18.5732
ATLAS ATLAS sdssj235144 0 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724 18.2041 18.5724
ATLAS ATLAS sdssj235144 0 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722 18.2029 18.5722
ATLAS ATLAS sdssj235144 0 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724 18.2021 18.5724
ATLAS ATLAS sdssj235144 0 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697 18.1994 18.5697
ATLAS ATLAS sdssj235144 0 18.203 18.5739 18.203 18.5739 18.203 18.5739 18.203 18.5739 18.203 18.5739 18.203 18.5739 18.203 18.5739 18.203 18.5739 18.203 18.5739
ATLAS ATLAS sdssj235144 0 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718 18.2018 18.5718
ATLAS ATLAS sdssj235144 0 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712 18.2024 18.5712
ATLAS ATLAS sdssj235144 0 18.204 18.5738 18.204 18.5738 18.204 18.5738 18.204 18.5738 18.204 18.5738 18.204 18.5738 18.204 18.5738 18.204 18.5738 18.204 18.5738
ATLAS ATLAS sdssj235144 0 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721 18.2016 18.5721
ATLAS ATLAS sdssj235144 0 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736 18.2032 18.5736
ATLAS ATLAS sdssj235144 0 18.1988 18.568 18.1988 18.568 18.1988 18.568 18.1988 18.568 18.1988 18.568 18.1988 18.568 18.1988 18.568 18.1988 18.568 18.1988 18.568
ATLAS ATLAS sdssj235144 0 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757 18.2067 18.5757
ATLAS ATLAS sdssj235144 0 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725 18.2009 18.5725
ATLAS ATLAS sdssj235144 0 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688 18.1985 18.5688
ATLAS ATLAS sdssj235144 0 18.2 18.5696 18.2 18.5696 18.2 18.5696 18.2 18.5696 18.2 18.5696 18.2 18.5696 18.2 18.5696 18.2 18.5696 18.2 18.5696
